iter	Passed	Remaining
0	33	3292
1	37	1855
2	42	1360
3	44	1077
4	48	930
5	51	804
6	55	737
7	59	685
8	63	642
9	67	607
10	71	580
11	75	555
12	78	524
13	82	506
14	87	495
15	91	480
16	95	466
17	99	453
18	103	441
19	107	430
20	112	421
21	116	412
22	120	403
23	124	394
24	128	385
25	132	376
26	136	368
27	140	361
28	145	355
29	149	349
30	154	343
31	158	337
32	162	330
33	167	324
34	171	318
35	176	312
36	180	306
37	184	300
38	192	301
39	203	304
40	209	301
41	215	297
42	219	291
43	224	285
44	228	278
45	231	272
46	236	266
47	239	259
48	243	253
49	247	247
50	251	241
51	255	235
52	259	230
53	263	224
54	267	219
55	276	217
56	282	213
57	288	208
58	293	203
59	297	198
60	301	192
61	305	187
62	309	181
63	313	176
64	317	170
65	321	165
66	325	160
67	328	154
68	332	149
69	336	144
70	341	139
71	344	134
72	348	129
73	353	124
74	357	119
75	361	114
76	365	109
77	369	104
78	373	99
79	377	94
80	381	89
81	385	84
82	389	79
83	393	74
84	397	70
85	402	65
86	405	60
87	409	55
88	413	51
89	417	46
90	421	41
91	426	37
92	430	32
93	434	27
94	438	23
95	442	18
96	446	13
97	450	9
98	454	4
99	458	0
