iter	Passed	Remaining
0	17	1691
1	32	1584
2	48	1561
3	63	1525
4	80	1524
5	95	1492
6	110	1468
7	125	1439
8	140	1421
9	155	1399
10	172	1399
11	187	1377
12	201	1348
13	215	1325
14	231	1313
15	246	1293
16	260	1271
17	275	1255
18	290	1238
19	303	1215
20	320	1205
21	334	1186
22	349	1170
23	363	1150
24	378	1136
25	393	1120
26	409	1107
27	427	1099
28	444	1087
29	458	1069
30	473	1052
31	487	1036
32	501	1017
33	514	999
34	529	982
35	543	966
36	558	950
37	573	935
38	588	920
39	602	903
40	615	885
41	630	870
42	644	854
43	657	837
44	672	821
45	686	806
46	700	789
47	714	773
48	728	758
49	743	743
50	757	727
51	771	711
52	786	697
53	802	683
54	816	667
55	830	652
56	844	637
57	858	621
58	872	606
59	887	591
60	902	576
61	915	561
62	929	545
63	944	531
64	958	516
65	973	501
66	988	486
67	1003	472
68	1016	456
69	1030	441
70	1044	426
71	1059	411
72	1073	397
73	1088	382
74	1103	367
75	1117	352
76	1131	338
77	1145	323
78	1160	308
79	1174	293
80	1189	278
81	1203	264
82	1217	249
83	1231	234
84	1248	220
85	1263	205
86	1278	190
87	1293	176
88	1307	161
89	1320	146
90	1334	132
91	1348	117
92	1364	102
93	1378	88
94	1393	73
95	1408	58
96	1423	44
97	1440	29
98	1457	14
99	1477	0
